job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
171604678,机电工程师,计算机硬件,4.0,7.0,千,月,无需经验,大专,在线,2026-04-15 09:36:12,2026-04-15 17:53:05,吉林省中科讯飞信息工程有限公司,长春·绿园区,"五险一金,带薪年假,节日福利,双休,餐补,年终奖金,员工旅游,全勤奖","职位详情：
岗位职责：
1、负责按图纸或技术要求，完成设备的安装工作；
2、负责安装与测试过程中的设计工作；
3、完成领导交付的其它工作。
任职资格：
1、大专及以上，接受应届生；
2、理工科专业优先；
3、执行力强，工作认真负责，具有良好的团队协作意识。
福利待遇：
1、基础底薪4k +五险一金+餐补+交通补助
2、带薪年假,节日福利，提供住宿；
3、早9：00-晚5：00,双休，法定假日正常休息。

年龄要求：
18-30岁

职能类别：
机电工程师",信息技术/硬件,电子信息,"测试, 安装, 理工科, 设备安装, 设计",1、大专及以上；接受应届生；2、理工科专业优先；3、执行力强；工作认真负责,0.0,4000.0,7000.0,5500.0,"['测试', '安装', '理工科', '设备安装', '设计']","测试,安装,理工科,设备安装,设计",2
171609006,工艺工程师,电子/半导体/集成电路,1.5,2.0,万,月,7年及以上,本科,在线,2026-04-15 11:06:00,2026-04-15 17:53:38,深圳市航嘉驰源电气股份有限公司,河源,"五险一金,年终奖金,绩效奖金,专业培训,定期体检,餐饮补贴,员工旅游,节日福利","职位详情：
工作职责:
1、研究行业工艺，进行对标分析，以精益生产+自动化方式持续改善，提升行业竞争力。
2、主导规划车间装修和制造布局，输出图纸并落地执行。
3、制定自动化工艺需求，治夹具设计标准化，牵引产品制造工艺设计适应精益生产和自动化/数字化/智能制造的发展。
4、负责新设备的导入及成果验证，保证新设备顺利移交至量产线生产，后期设备异常协助处理及系统性改善方案。

任职资格:
1、本科及以上学历、机械、电气等设备相关专业，了解工艺流程。
2、7年以上工艺工作经验，熟悉精益生产管理基本原理和方法，有电源厂工作经验优先。
3、良好的沟通、协商、分析和解决问题的能力。

薪酬待遇：
1、月薪： 15-20K，特别适配者可进一步沟通。
2、其他福利待遇：提供舒适住宿环境+餐补+五险一金+大小周+带薪年假+节假日福利+丰富团建活动+育儿假、护理假+上下班班车。

工作地点：广东河源龙岭航嘉工业园。

职能类别：
工艺/制程工程师",制造业/电子半导体,电子信息,"机械, 自动化, 电气, 工艺流程, 精益生产, 工艺, 智能制造, 精益生产管理, 对标分析, 自动化工艺",1、本科及以上学历、机械、电气等设备相关专业；特别适配者可进一步沟通。,0.7,15000.0,20000.0,17500.0,"['机械', '自动化', '电气', '工艺流程', '精益生产', '工艺', '智能制造', '精益生产管理', '对标分析', '自动化工艺']","机械,自动化,电气,工艺流程,精益生产,工艺,智能制造,精益生产管理,对标分析,自动化工艺",1
171603649,工程运维可长期,计算机硬件,4.0,6.5,千,月,无需经验,大专,在线,2026-04-15 09:10:40,2026-04-15 17:54:47,吉林省中科讯飞信息工程有限公司,长春·绿园区,"五险一金,年终奖金,定期体检,员工旅游,带薪年假,节日福利,双休,包吃住","职位详情：
岗位职责：（前期无经验有公司老人带）
1、负责工程网络应用环境快速部署、调试、迁移、维护等运维工作；
2、负责日常工程网络的巡检、系统与应用平台管理，包括状态监控、升级、故障处理及优化等操作；
3、负责收集和分析系统性能指标，对提高系统可用性提出建议，维护系统稳定运行等。
薪资待遇：
1、带薪年假，年终奖金，包吃住，4000+项目奖金+节日福利+五险一金；
2、上班时间：早9晚5 中午休息一个半小时双休 长白班不加班。

年龄要求：
20-30岁

职能类别：
运维工程师",信息技术/硬件,电子信息,"调试, 运维, 维护, 故障处理",2、上班时间：；20-30岁,0.0,4000.0,6500.0,5250.0,"['调试', '运维', '维护', '故障处理']","调试,运维,维护,故障处理",2
171617327,模拟IC版图设计工程师,电子/半导体/集成电路,6.0,8.0,千,月,无需经验,本科,在线,2026-04-15 15:23:19,2026-04-15 17:55:27,福建福顺半导体制造有限公司,福州,"五险一金,年终奖金,绩效奖金,餐饮补贴,专业培训,带薪年假,交通补贴,节日福利","职位详情：
专业要求：
微电子、电子信息工程、电子科学与技术、集成电路设计等电子信息类相关专业；

能力要求:
模拟电路、数模混合电路、半导体物理、集成电路设计等核心课程成绩优异，专业理论知识扎实；了解IC设计基本流程，掌握半导体理论、模拟电路基础理论及封装基础影响因素；熟悉Cadence virtuoso、Mentor calibre等基础版图EDA工具，有模拟/数模混合IC版图设计相关课程、科研实践经历者优先；了解BCD/CMOS/BiCMOS/Bipolar工艺基础知识，具备基础的DRC/LVS验证、寄生参数提取认知；

学历要求：
重点院校 （985/211优先），本科/硕士全日制学历，专业需与岗位要求专业符合；
在校成绩专业排名前10%、或者获得校级及以上奖学金、电子类相关学科竞赛市级及以上奖项，经审核可破格录用。
有工作经验者学历也可放宽。

职能类别：
IC版图设计",制造业/电子半导体,电子信息,"电子, 微电子, 模拟电路, drc, 半导体物理, 电子信息, 电子信息工程, cmos, bcd, 集成电路设计",专业符合；在校成绩专业排名前10%、或者获得校级及以上奖学金、电子类相关学科竞赛市级及以上奖项；有工作经验者学历也可放宽。,0.0,6000.0,8000.0,7000.0,"['电子', '微电子', '模拟电路', 'drc', '半导体物理', '电子信息', '电子信息工程', 'cmos', 'bcd', '集成电路设计']","电子,微电子,模拟电路,drc技能包,半导体物理,电子信息,电子信息工程,集成电路设计",2
171607879,生产拉长,电子技术/半导体/集成电路,5.0,7.0,千,月,2年及以上,高中,在线,2026-04-15 10:48:48,2026-04-15 17:56:05,深圳市华正行科技有限公司,惠州·惠城区,,"职位详情：
岗位职责：
1. 负责管理生产员工，确保生产计划得以顺利完成；
2. 组织和安排生产计划，保证生产进度和产品质量；
3. 协调和解决生产中出现的各种问题；
4. 保持对生产数据的准确性和保密性，以支持公司的业务目标；
5. 对新进员工进行安全，品质，操作培训。

任职要求：
1. 有2年以生产管理经验，懂得现场指导新员工操作；
2. 熟悉耳机管理相关经验者优先；
3. 具有良好的沟通能力，对工作认真負責，吃苦耐劳；
4. 服从领导安排，负责员工培训。

年龄要求：
20-40岁

职能类别：
生产领班/组长",制造业/电子半导体,电子信息,"生产管理经验, 现场指导新员工操作, 熟悉耳机管理, 沟通能力, 工作认真負責, 吃苦耐劳, 服从领导安排",对工作认真負責；吃苦耐劳；4. 服从领导安排；负责员工培训。,0.2,5000.0,7000.0,6000.0,"['生产管理经验', '现场指导新员工操作', '熟悉耳机管理', '沟通能力', '工作认真負責', '吃苦耐劳', '服从领导安排']","生产管理经验,现场指导新员工操作,熟悉耳机管理,沟通能力,工作认真負責,吃苦耐劳,服从领导安排",2
171609353,项目研发经理,电子/半导体/集成电路,1.0,2.0,万,月,7年及以上,本科,在线,2026-04-15 11:13:02,2026-04-15 17:58:10,江苏中科昊芯科技有限公司,盐城·建湖县,"节日福利,五险","职位详情：
【工作内容】
- 负责建立江苏昊芯的项目规范和流程，参考北京昊芯的HX-IPD流程，制定电机和控制器各个环节的相关计划、规范及评审流程，确保项目管理标准化与高效化。
- 负责控制器研发、生产、测试的全生命周期管理，包括需求分析、设计开发、样机制作、测试验证及量产导入，推动各个项目和产品按计划高质量交付。
- 负责江苏昊芯的产品需求管理与产品定义，涵盖电机和控制器，结合市场趋势和技术能力，明确产品功能、性能指标及技术路线，支撑公司产品战略落地。
- 推动拓展产品线，围绕电机和控制器领域，结合芯片技术优势，探索新产品方向，提升公司在行业内的竞争力和市场份额。
- 优先推进项目规范建设，其次强化研发过程管理，最后逐步实现产品线的拓展与优化，形成可持续发展的研发体系。
【任职要求】
- 具备7年及以上相关工作经验，熟悉项目管理流程，有控制器、电机或芯片领域的研发管理经验者优先；
- 本科及以上学历，电子工程、自动化、机械工程等相关专业；
- 具备良好的沟通协调能力、逻辑思维能力和问题解决能力，能够统筹多部门协作；
- 熟悉测试流程与评审机制，具备较强的产品定义与需求管理能力；
- 对行业发展动态敏感，具备一定的战略眼光和创新意识。
【薪酬福利】
- 提供具有市场竞争力的薪资待遇，具体面议；
- 享受五险、带薪年假、节日福利、员工培训等完善的福利体系；
- 提供良好的职业发展平台和晋升空间，支持员工持续成长。

职能类别：
机械研发经理/主管",制造业/电子半导体,电子信息,"测试, 评审, 控制器, 产品定义, 拓展产品线, 项目规范, 电机, 产品需求管理, 芯片",本科及以上学历；薪酬,0.7,10000.0,20000.0,15000.0,"['测试', '评审', '控制器', '产品定义', '拓展产品线', '项目规范', '电机', '产品需求管理', '芯片']","测试,评审,控制器,产品定义,拓展产品线,项目规范,电机,产品需求管理,芯片",1
171617451,注塑成型技术经理,电子技术/半导体/集成电路,1.5,2.5,万,月,10年及以上,大专,在线,2026-04-15 15:25:56,2026-04-15 17:58:20,深圳市浩和智能装备有限公司,惠州·仲恺区,,"职位详情：
岗位职责：
1.全面负责注塑、冲压车间日常运营，制定及达成年度 / 月度生产计划、产能规划及良率、成本目标。
2.主导注塑、冲压工艺优化，提升生产稳定性与产能。
3.配合研发、工程完成新品试模、试产及量产导入评估。
4.建立并完善产量、良率、损耗、效率、设备稼动率、制造成本等数据统计体系。
任职资格：
1.大专及以上，10年以上连接器行业精密注塑成型技术。
2.熟悉IATF16949、ISO14001等管理体系标准，掌握SPC、FMEA等质量控制方法与工具；
3.精通注塑成型技术(成型曲线分析、注塑编程等)、材料特性、模具设计及注塑机规格型号选用。

职能类别：
生产经理/车间主任",制造业/电子半导体,电子信息,"汽车连接器, 注塑技术",1.大专及以上,1.0,15000.0,25000.0,20000.0,"['汽车连接器', '注塑技术']","汽车连接器,注塑技术",1
171616635,生管,电子技术/半导体/集成电路,7.0,10.0,千,月,3-5年,大专,在线,2026-04-15 15:06:02,2026-04-15 18:12:15,福立旺精密机电（中国）股份有限公司,苏州,五险一金,"职位详情：
",制造业/电子半导体,电子信息,"数据分析, 生产计划, 生产管理, 生产流程, 生产现场管理, 监督生产进度",,0.4,7000.0,10000.0,8500.0,"['数据分析', '生产计划', '生产管理', '生产流程', '生产现场管理', '监督生产进度']","数据分析,生产计划,生产管理,生产流程,生产现场管理,监督生产进度",1
171613533,成型技术员,电子技术/半导体/集成电路,8.0,10.0,千,月,8年及以上,中技/中专,在线,2026-04-15 13:53:20,2026-04-15 18:38:54,立讯精密工业股份有限公司,东莞·清溪镇,"五险一金,年终奖金,专业培训,餐饮补贴,节日福利,全勤奖","职位详情：
岗位职责：
1.“人、机、物、法、环（人员、机台、物料、方法、环境）”管理。
2.根据生管指定产能计划目标，组织开会激励员工按时按量满足客户需求出货。
3.针对制程问题，提出有效改善方案，降低生产成本，提升生产效率，降低制程不良，提高作业安全系数。
4.品质问题追踪处理，拉动各单位配合完成生产任务。
5.新模上机试模，成型参数设定和调整，新模试模问题需要的统计并提出改善意见。
6.机台清理换线、调试机台制作首件，按时完成工单生产，满足出货需求。

任职要求：
1.8年以上成型调机经验，有做过mol ding类产品优先。
2.对卧式及立式注塑机操作熟悉，机型:FANUC,日精。
3.有连接器类型产品&高速背板&Socket &TYPE-C类产品优先。
4.对端子拉料机熟悉或使用过。
5.会使用伺服5轴横走式机械手。
6.有较强责任心&上进心及执行力。

职能类别：
注塑工程师",制造业/电子半导体,电子信息,"成型机, 日精机",6.有较强责任心&上进心及执行力。,0.8,8000.0,10000.0,9000.0,"['成型机', '日精机']","成型机,日精机",1
171608332,Shunt研发工程师,电子/半导体/集成电路,1.2,2.0,万,月,3年及以上,本科,在线,2026-04-15 13:42:06,2026-04-15 18:39:54,普森美微电子技术（苏州）有限公司,苏州·苏州工业园区,"五险一金,周末双休,弹性工作,带薪病假,带薪年假,年终奖金,定期体检","职位详情：
一、岗位职责
1. 新产品导入（NPI）与样品管理
负责Shunt研发样品制程追踪，建立样品履历（Lot History），实时监控关键尺寸（如阻值、焊点强度、温升曲线）；
主导样品阶段问题解析（如热电动势异常、阻值漂移、焊接虚焊），运用8D/5Why方法推进改善闭环；
协同模具工程师完成冲压、分选、焊接等工装治具的设计验证（DFM/DFA评审）。

2. 制程开发与工艺优化
建立冲压成型、焊接（镭射焊/电子束焊）、调阻（Trimming）、包封等关键工序的工艺窗口（Process Window）；
主导从研发到量产的制程转移（Technology Transfer），输出标准作业程序（SOP）及设备操作规范。

3. 质量体系与APQP文件编制
依据IATF16949及AEC-Q200标准，主导APQP各阶段文件编制：
设计阶段：DFMEA、特殊特性清单（SC/CC）；
制程阶段：PFMEA、Control Plan、MSA计划；
量产阶段：PPAP全套资料提交（Level 3）。
建立并维护研发BOM、图纸及工艺标准，确保文件受控与追溯性。

4. 技术协同与持续改进
配合客户完成设计验证（DV）与生产确认（PV），支持客户审核（VDA6.3过程审核）；
跟踪行业技术趋势（如裸片Shunt、集成式电流传感器），提出工艺改进建议。

二、任职要求
硬性条件：
学历背景：电子工程、材料科学（金属材料/粉冶）、机械工程等相关专业，本科及以上学历（硕士优先，优秀经验者可放宽学历形式）；
行业经验：3年以上被动元件研发经验，必须具备合金采样电阻（Shunt/分流器）、精密电阻或汽车电子被动元件开发背景；有车规级产品量产经验者优先；
体系知识：熟悉IATF16949、VDA6.3及AEC-Q200标准，独立主导过至少2个完整APQP项目


核心能力：
工艺知识：熟悉铜合金（锰铜/镍铜）特性、冲压成型、微电阻焊接工艺及调阻技术（喷砂/镭射）；
分析工具：熟练使用Minitab进行数据分析（回归分析、方差分析），具备基础CAD看图能力（能评审模具图纸）；
项目管理：具备跨部门协调能力，能有效联动模具、生产、品质部门推进项目节点（Gate Review）。

三、加分项
熟悉新能源车用Shunt的高可靠性要求（如反电动势保护、抗硫化设计）；
了解电阻浆料厚膜工艺或金属箔电阻技术（竞争对手技术对标）。

职能类别：
机械研发工程师",制造业/电子半导体,电子信息,"sop, 图纸, ppap, 焊接, bom, apqp, npi, 质量体系, iatf16949, pfmea, 新能源",学历背景：；本科及以上学历（硕士优先；优秀经验者可放宽学历形式）；核心能力：；具备跨部门协调能力,0.3,12000.0,20000.0,16000.0,"['sop', '图纸', 'ppap', '焊接', 'bom', 'apqp', 'npi', '质量体系', 'iatf16949', 'pfmea', '新能源']","sop,图纸,ppap技能包,焊接,bom,npi,质量体系,pfmea,新能源",2
