industry_group,years_experience,predicted_salary
人力资源,0.0,7656.414361421037
人力资源,1.0,11626.789549936384
人力资源,2.0,14659.523348252198
人力资源,3.0,17081.861526048462
人力资源,4.0,19010.58199375828
人力资源,5.0,20513.175934951054
人力资源,6.0,21635.18110936058
人力资源,7.0,22410.027944797064
人力资源,8.0,22863.618504499267
人力资源,9.0,23016.792010300505
人力资源,10.0,22886.78807346329
商业与贸易,0.0,6753.227289396359
商业与贸易,1.0,7136.410920566163
商业与贸易,2.0,8457.403589294852
商业与贸易,3.0,10388.90101537836
商业与贸易,4.0,12814.104408857016
商业与贸易,5.0,15665.510518948064
商业与贸易,6.0,18897.57344390814
商业与贸易,7.0,22476.856778670695
商业与贸易,8.0,26377.453828788763
商业与贸易,9.0,30578.521646441084
商业与贸易,10.0,35062.81753797637
机械工程,0.0,6829.306402049801
机械工程,1.0,8421.831506113485
机械工程,2.0,9934.811317387637
机械工程,3.0,11396.00790017041
机械工程,4.0,12815.328168953685
机械工程,5.0,14198.497773238272
机械工程,6.0,15549.37993244779
机械工程,7.0,16870.810734233695
机械工程,8.0,18164.987593541315
机械工程,9.0,19433.678416544124
机械工程,10.0,20678.345734589166
材料与轻工,0.0,7228.963789048245
材料与轻工,1.0,8031.11111889093
材料与轻工,2.0,9174.974147951398
材料与轻工,3.0,10541.290844741834
材料与轻工,4.0,12087.502459473739
材料与轻工,5.0,13789.012384930846
材料与轻工,6.0,15629.224758802799
材料与轻工,7.0,17595.956136401976
材料与轻工,8.0,19679.766723641504
材料与轻工,9.0,21873.061837378813
材料与轻工,10.0,24169.558642962627
生物与医药,0.0,9058.210740895202
生物与医药,1.0,8816.314973816145
生物与医药,2.0,9556.355145307907
生物与医药,3.0,10935.62626671202
生物与医药,4.0,12831.833793137426
生物与医药,5.0,15174.298230935306
生物与医药,6.0,17915.330598676315
生物与医药,7.0,21019.921201980742
生物与医药,8.0,24460.94435394621
生物与医药,9.0,28216.57637969673
生物与医药,10.0,32268.76326194746
电子信息,0.0,5830.850833248286
电子信息,1.0,8596.629521530776
电子信息,2.0,10785.153160969614
电子信息,3.0,12597.889257943003
电子信息,4.0,14106.731650644862
电子信息,5.0,15353.231007459806
电子信息,6.0,16365.422462069131
电子信息,7.0,17163.887319266072
电子信息,8.0,17764.5720772922
电子信息,9.0,18180.306316990456
电子信息,10.0,18421.703533824464
管理与咨询,0.0,7873.775988506752
管理与咨询,1.0,6012.163497773197
管理与咨询,2.0,6654.402645819575
管理与咨询,3.0,8926.625378972769
管理与咨询,4.0,12516.991194597753
管理与咨询,5.0,17245.273502497297
管理与咨询,6.0,22989.869528383093
管理与咨询,7.0,29661.50758231842
管理与咨询,8.0,37191.01951092821
管理与咨询,9.0,45522.756832518244
管理与咨询,10.0,54610.68336591871
计算机技术,0.0,9197.52232194018
计算机技术,1.0,11322.513809854341
计算机技术,2.0,13350.721230781433
计算机技术,3.0,15315.92314529375
计算机技术,4.0,17230.17345931321
计算机技术,5.0,19100.438664826936
计算机技术,6.0,20931.419204493053
计算机技术,7.0,22726.565792836762
计算机技术,8.0,24488.55206078968
计算机技术,9.0,26219.529048891352
计算机技术,10.0,27921.276243103785
