industry_group,skill,n_samples,n_with_skill,n_without_skill,median_premium,coarse_match_premium,pure_skill_value,matched_bucket_count,method
交通与物流,销售,46,4,42,6000.0,2625.0,2625.0,2,median_plus_coarse_matching
交通与物流,乘务员,46,4,42,-1625.0,-1250.0,-1250.0,1,median_plus_coarse_matching
交通与物流,word技能包,46,2,44,-1875.0,-1625.0,-1625.0,1,median_plus_coarse_matching
交通与物流,网络推广,46,2,44,-875.0,-750.0,-750.0,1,median_plus_coarse_matching
交通与物流,识字技能包,46,2,44,3500.0,3500.0,3500.0,1,median_plus_coarse_matching
交通与物流,海运,46,2,44,14250.0,10250.0,10250.0,1,median_plus_coarse_matching
交通与物流,家电清洗,46,2,44,3500.0,3500.0,3500.0,1,median_plus_coarse_matching
交通与物流,身体健康,46,2,44,-2122.5,-1997.5,-1997.5,1,median_plus_coarse_matching
交通与物流,市场开发,46,2,44,-2000.0,-8250.0,-8250.0,2,median_plus_coarse_matching
交通与物流,客户资源,46,2,44,1375.0,1500.0,1500.0,1,median_plus_coarse_matching
化学与化工,化工,14,2,12,3250.0,3750.0,3750.0,1,median_plus_coarse_matching
化学与化工,管理,14,2,12,-2500.0,-2250.0,-2250.0,1,median_plus_coarse_matching
化学与化工,团队管理,14,2,12,-1000.0,-500.0,-500.0,1,median_plus_coarse_matching
化学与化工,行政管理,14,2,12,-4375.0,-4125.0,-4125.0,1,median_plus_coarse_matching
建筑与工程,销售,46,4,42,-1250.0,-250.0,-250.0,1,median_plus_coarse_matching
建筑与工程,建筑,46,2,44,-2000.0,-1000.0,-1000.0,1,median_plus_coarse_matching
建筑与工程,sketchup技能包,46,3,43,500.0,1000.0,1000.0,1,median_plus_coarse_matching
建筑与工程,市政,46,2,44,-2375.0,-1375.0,-1375.0,1,median_plus_coarse_matching
建筑与工程,安装,46,2,44,250.0,1000.0,1000.0,1,median_plus_coarse_matching
建筑与工程,管理,46,2,44,8900.0,7250.0,7250.0,2,median_plus_coarse_matching
建筑与工程,结算,46,2,44,6250.0,7000.0,7000.0,1,median_plus_coarse_matching
建筑与工程,工程验收,46,3,43,3000.0,4900.0,4900.0,2,median_plus_coarse_matching
建筑与工程,市政工程,46,2,44,2858.333333333332,1208.333333333333,1208.333333333333,2,median_plus_coarse_matching
建筑与工程,物业管理,46,2,44,4150.0,1000.0,1000.0,1,median_plus_coarse_matching
建筑与工程,方案,46,2,44,-1125.0,-375.0,-375.0,1,median_plus_coarse_matching
建筑与工程,办公软件技能包,46,3,43,-4750.0,-3750.0,-3750.0,1,median_plus_coarse_matching
建筑与工程,图纸,46,2,44,1150.0,1750.0,1750.0,1,median_plus_coarse_matching
建筑与工程,建筑设计,46,2,44,8150.0,6750.0,6750.0,2,median_plus_coarse_matching
建筑与工程,市场营销,46,2,44,1250.0,250.0,250.0,2,median_plus_coarse_matching
建筑与工程,运营管理,46,2,44,2150.0,2500.0,2500.0,1,median_plus_coarse_matching
教育,ai,24,2,22,2500.0,2500.0,2500.0,1,median_plus_coarse_matching
教育,数据分析,24,2,22,-2500.0,-1500.0,-1500.0,1,median_plus_coarse_matching
教育,团队管理,24,2,22,7250.0,2875.0,2875.0,2,median_plus_coarse_matching
教育,教师资格证,24,2,22,7000.0,2625.0,2625.0,2,median_plus_coarse_matching
教育,教学,24,2,22,2000.0,2250.0,2250.0,1,median_plus_coarse_matching
文化与艺术,娱乐主播技能包,33,3,30,-3750.0,-3500.0,-3500.0,1,median_plus_coarse_matching
文化与艺术,销售,33,2,31,2250.0,2250.0,2250.0,1,median_plus_coarse_matching
文化与艺术,地产广告,33,2,31,1500.0,1500.0,1500.0,1,median_plus_coarse_matching
文化与艺术,设计软件技能包,33,2,31,2750.0,2750.0,2750.0,1,median_plus_coarse_matching
文化与艺术,计算机,33,2,31,2850.0,2850.0,2850.0,1,median_plus_coarse_matching
文化与艺术,excel,33,5,28,-1300.0,-1300.0,-1300.0,1,median_plus_coarse_matching
文化与艺术,办公软件技能包,33,3,30,-1500.0,-1500.0,-1500.0,1,median_plus_coarse_matching
文化与艺术,情感分析,33,2,31,2250.0,2250.0,2250.0,1,median_plus_coarse_matching
文化与艺术,聊天主播,33,2,31,1500.0,1500.0,1500.0,1,median_plus_coarse_matching
文化与艺术,直播,33,2,31,500.0,500.0,500.0,1,median_plus_coarse_matching
