industry_group,suggested_label,original_skills
交通与物流,计算机技能包,新能源;计算机
交通与物流,国际贸易技能包,报关;国际贸易
交通与物流,word技能包,excel;word
交通与物流,检票技能包,安全管理;检票;引导;检查票务;认座;接触网;上下车
交通与物流,识字技能包,识字;会使用智能手机;熟练使用导航;会骑电动车;空调清洗;冰箱清洗;洗衣机清洗;油烟机清洗;床垫沙发除螨;木地板打蜡;APP派单
人力资源,组装技能包,质检;扫码;贴标签;组装;包装
人力资源,检票员技能包,检票员;乘务辅警;列车员
人力资源,语音技能包,语音;评测
人力资源,高铁技能包,高铁;地铁
人力资源,餐吧员技能包,餐吧员;客服;人事
人力资源,治安管理技能包,旅客咨询;人员检查;治安巡查;配合乘警工作;保障旅客安全;协助旅客上下车;认座;治安管理;服务流程;旅客安全;突发事件处理
人力资源,风险防控技能包,金融;银行;档案管理;经济;贷后检查;风险防控;授信方案;产业政策;行业政策;风险审核
人力资源,运维报告技能包,设备安装;系统优化;运维报告
人力资源,市场营销战略计划技能包,市场营销战略计划;团队管理;团队协作
人力资源,维护交通秩序技能包,交通管理;维护交通秩序
人力资源,针对性探测技能包,宣传引导;针对性探测
人力资源,验票技能包,查票;验票
人力资源,团队建设技能包,团队建设;管理规章制度;规划团队;经营计划;发展战略规划;业务发展计划;工作计划
人力资源,设备检修技能包,设备检修;维护保养
人力资源,监控系统技能包,监控系统;消防设施;安全设备
人力资源,韩语技能包,韩语;泰语;俄语;土耳其语;法语;德语;阿拉伯语;葡语;西语
人力资源,良好服务意识技能包,普通话标准;良好服务意识;亲和力;热爱服务行业
人力资源,组织实施技能包,组织实施;团队架构搭建
人力资源,退伍军人优先技能包,维护安检通道秩序;引导旅客;上报并处理安全隐患;持有健康证;无犯罪前科;退伍军人优先
人力资源,英语读写能力技能包,新产品导入（NPI）;CAD;SolidWorks;英语读写能力
商业与贸易,外贸业务员技能包,外贸业务员;外贸专员
商业与贸易,外贸技能包,外贸业务;外贸;英语六级
商业与贸易,效期管理技能包,效期管理;水产养殖;宰杀
商业与贸易,财务技能包,财务;会计;财务软件
商业与贸易,具备智能手机技能包,会骑车;会使用手机导航;具备智能手机
建筑与工程,sketchup技能包,施工图;设计软件;效果图;sketchup
建筑与工程,办公软件技能包,办公软件;word
文化与艺术,娱乐主播技能包,娱乐主播;海外直播
文化与艺术,设计软件技能包,photoshop;设计软件;illustrator
文化与艺术,办公软件技能包,办公软件;word;单据整理
机械工程,PPT技能包,PPT;PS
机械工程,excel技能包,excel;word
