job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
171597654,招一个家门口上班的HRBP,在线招聘/求职,5.0,8.0,千,月,1年及以上,大专,在线,2026-04-14 17:51:59,2026-04-15 17:50:06,南通市钮果果网络科技有限公司,南京·雨花台区,"五险一金,定期体检,周末双休,节日福利","职位详情：
负责BD销售岗的招聘全流程：职位发布、邀约、面试、入职跟踪

综合薪资5700元
9:00-18:00，午休90分钟，周末双休
入职满1个月缴南京五险一金

要求大专及以上，1年以上招聘经验，30岁以内

团队年轻，氛围轻松，等你来聊！

职能类别：
HRBP",互联网/招聘平台,人力资源,"招聘全流程, 职位发布, 邀约, 面试, 入职跟踪, 大专及以上, 1年以上招聘经验, 30岁以内",大专及以上；30岁以内,0.1,5000.0,8000.0,6500.0,"['招聘全流程', '职位发布', '邀约', '面试', '入职跟踪', '大专及以上', '1年以上招聘经验', '30岁以内']","招聘全流程,职位发布,邀约,面试,入职跟踪,大专及以上,1年以上招聘经验,30岁以内",1
171599817,列车乘务+五险一金+包吃包住,人力资源服务,6.0,8.0,千,月,无需经验,,在线,2026-04-15 11:12:02,2026-04-15 17:53:23,河北洹讯人力资源服务有限公司,运城,"缴纳五险,五险一金,员工宿舍,医疗保险,养老保险,工伤保险,失业保险,生育保险,年终奖金,年终奖","职位详情：
工作地点：根据户籍地安排,也可以根据求职者意愿调整。
一.职位信息
职位名称:乘务员
1.转正和实习工作内容：
（1）负责协助旅客上下车，检查票务，认座，旅客餐饮咨询等工作；
（2）负责车站出入站口检票工作；
（3）负责列车、站内安全管理(包括引导，抽查旅客身份证件)；
（4）动车联检、轨道维保维管、接触网工等。
2、工作要求：
（1）性别不限，18-30岁，身体健康，无不良嗜好；
（2）普通话标准。无违法犯罪记录,具有良好服务意识及亲和力，热爱服务行业；
（3）退役军人/应届毕业生优先；
（4）接受实习生。
二、薪资详情
1.薪资范围：6-8K
2.薪资结构：
（1）转正综合工资： 一线城市综合工资6000-8000，二三线城市综合 5000-7000
（2）上几休几(例如上二休二或上三休三等)，统一安排入驻员工宿舍，小区式住宿环境，水、电、暖气、空调等齐全。
（3）入职后按照国家规定缴纳五险：养老保险、医疗保险、生育保险、工伤保险、失业保险。
（4）长期合同制 可以长期稳定工作、退休后有退休金、享受养老政策

年龄要求：
18-30岁

职能类别：
乘务员",服务业/人力资源,人力资源,"乘务员, 安检员, 乘辅警, 高铁铁路, 检查票务",一.职位信息；职位名称:；乘务员；旅客餐饮咨询等工作；（2）负责车站出入站口检票工作；2、工作要求：；18-30岁；身体健康；无不良嗜好；具有良好服务意识及亲和力；热爱服务行业；（3）退役军人/应届毕业生优先；二、薪资详情；1.薪资范围：；2.薪资结构：；（4）长期合同制 可以长期稳定工作、退休后有退休金、享受养老政策；18-30岁；乘务员,0.0,6000.0,8000.0,7000.0,"['乘务员', '安检员', '乘辅警', '高铁铁路', '检查票务']","乘务员,安检员,乘辅警,高铁铁路,检查票务",1
171605038,急招装配小时工28/小时（免费吃住）,专业服务(咨询、人力资源、财会),7.0,8.0,千,月,无需经验,高中,在线,2026-04-15 09:44:25,2026-04-15 17:55:53,上海珞诚劳务派遣有限公司,上海·浦东新区,,"职位详情：
免费工作餐，免费体检，免费住宿（水电平摊），上下班有厂车接送。
工价 28元/小时（26+2稳岗奖励，发放时需在职）
岗位：装配，喷漆
要 求 ： 年龄40岁以下，身高170米以上左右，高中以上学历
上班时间：12小时做二休一（或做六休一，以产量为主）
综合工资：7500--8500元，点对点12小时，按11.5小时结算，国定节假日45元/小时

年龄要求：
18-40岁

职能类别：
普工/操作工",专业服务/咨询人力,人力资源,"装配, 喷漆",免费工作餐；上下班有厂车接送。；工价 28元/小时（26+2稳岗奖励；岗位：；高中以上学历；上班时间：；12小时做二休一（或做六休一；按11.5小时结算；国定节假日45元/小时；18-40岁,0.0,7000.0,8000.0,7500.0,"['装配', '喷漆']","装配,喷漆",1
171612082,船员-分拣大小鱼类1W-1.2W,人力资源服务,9.0,12.0,千,月,无需经验,,在线,2026-04-15 12:53:20,2026-04-15 17:57:08,舟山海连船务有限公司,上海·黄浦区,,"职位详情：
渔船，大小鱼类分拣工（工作地在舟山）

1、年龄：18-50岁．身份证无过期消磁，身体健康，无重大疾病，无重大犯罪记录，能吃苦耐劳，有无工作经验均可。

2、在船上主要工作为机器捕鱼，人工辅助作业把大小分开 ，无重体力劳动， 无需工作经验，无需学历，只要能吃苦耐劳，服从安排，有耐心。

3.包吃包住，有空调可洗澡。

职能类别：
场长(农/林/牧/渔业)",服务业/人力资源,人力资源,"分拣, 无工作经验",18-50岁．身份证无过期消磁；身体健康；能吃苦耐劳；2、在船上主要工作为机器捕鱼；人工辅助作业把大小分开；无重体力劳动；无需学历；只要能吃苦耐劳；服从安排,0.0,9000.0,12000.0,10500.0,"['分拣', '无工作经验']","分拣,无工作经验",1
171599424,新厂招质检员320一天包吃住+坐班,人力资源服务,7.5,7.8,千,月,无需经验,,在线,2026-04-14 19:47:30,2026-04-15 17:57:37,河北侬畅企业管理有限公司,酒泉,"年终奖,五险一金,有五险","职位详情：
入职企业名字：苏州斯凯菲尔有限公司
入职地址；苏州吴中区
新建工厂，应聘当天入职，安排免费上班，就近安排！

————————————————
薪资待遇:
小时工：24-30/小时月薪保底8500--9500多劳多得！
正式工：早8晚20，保底工资7500，有五险一金
体检；自费，一般是10-100元，我司不收费，甲方统一安排体检费用如上。
————————————————
薪资发放:
每月10号发工资，不压工资，随走随结。可现金
————————————————
工作内容:
目前主要代加工新款苹果、小米等手机、平板电脑、智能手表和各类高端数码相机，长白班、坐着上班,不过安检门、有流水线和非流水线，可玩手机
————————————————
岗位有质检、扫码、贴标签、组装、包装、储备干部，上班自由，岗位很多，可自行选择(不会可以教）
————————————————
福利待遇:
公离住宿，4人间，有免费夫妻房，三餐公司免费，提供公司为员工缴纳五险-一金，不扣工资年终奖20000，季度奖5000
————————————————
招聘要求
16-45岁，身体只要健康即可，不分时间当天到了就可安排住宿
报名点击下方--申请职位----点击微聊---在线添加咨询

年龄要求：
16-45岁

职能类别：
普工/操作工",服务业/人力资源,人力资源,"质检, 扫码, 贴标签, 组装, 包装, 储备干部",入职企业名字：；入职地址；应聘当天入职；安排免费上班；小时工：；正式工：；薪资发放:；长白班、坐着上班；上班自由；岗位很多；可自行选择(不会可以教）；提供公司为员工缴纳五险-一金；16-45岁；16-45岁,0.0,7500.0,7800.0,7650.0,"['质检', '扫码', '贴标签', '组装', '包装', '储备干部']","组装技能包,储备干部",1
171607491,人力资源主管,专业服务(咨询、人力资源、财会),8.0,16.0,千,月,1-3年,大专,在线,2026-04-15 10:40:08,2026-04-15 18:41:37,临沂企承人力资源有限公司,达州·达川区,"专业培训,五险","职位详情：
【工作内容】
- 负责公司人力资源规划、招聘、培训及员工关系管理；
- 协助制定并执行人力资源相关政策与流程，提升组织效率；
- 组织开展员工绩效评估与激励机制，推动团队发展；
- 搭建和维护良好的企业文化氛围，增强员工归属感。
【任职要求】
- 本科及以上学历，人力资源管理或相关专业优先；
- 具备良好的沟通协调能力和团队合作精神；
- 对人力资源各模块有基本了解，有相关经验者优先；
- 工作认真细致，责任心强，能承受一定工作压力。

年龄要求：
35-50岁

职能类别：
人事主管",专业服务/咨询人力,人力资源,"招聘, 人力资源, 人力资源管理, 人力资源规划, 员工关系管理, 激励机制, 团队发展, 员工绩效评估",本科及以上学历；人力资源管理或相关专业优先；工作认真细致；责任心强,0.2,8000.0,16000.0,12000.0,"['招聘', '人力资源', '人力资源管理', '人力资源规划', '员工关系管理', '激励机制', '团队发展', '员工绩效评估']","招聘,人力资源,人力资源管理,人力资源规划,员工关系管理,激励机制,团队发展,员工绩效评估",2
171611569,轨道交通安全员+五险一金,专业服务(咨询、人力资源、财会),5.0,9.0,千,月,无需经验,中技/中专,在线,2026-04-15 12:11:21,2026-04-15 18:42:15,河北北驰客运服务有限公司,吕梁,"带薪年假,五险一金,双休,包吃住,五险,餐补,年终奖,员工宿舍,奖金,缴纳五险,五险一金,双休,带薪年假,包吃住","职位详情：
岗位职责：
1.负责对进站旅客的安全检查，禁止易燃易爆等危险物品进站，负责查票，验票，咨询服务，安全检查等工作
2.身体健康，能从事倒班工作，上一休一，上二休二等
3.责任心强，有良好的团队合作精神，吃苦耐劳、服从安排
岗位要求：
1.初中、中专及以上学历，专业不限
2.无违法犯罪或违反治安管理的记录，可提供无犯罪记录证明
3.年龄18-35岁（含）以内。身上无明显伤疤
工资架构：
基本工资+奖金+绩效，平均每月税后6000+，全年收入7-9万，每年年终奖1-2万不等
福利待遇：
1.入职后按照国家规定缴纳五险：养老保险、医疗保险、生育保险、工伤保险、失业保险
2.国家法定节日发放相关福利及过节费用（中秋、国庆、元旦、除夕…）
3.每年6-9月份发放防暑费，11-12月份发放取暖费
4.免费提供每季度工服、鞋子、手套等劳保用品
5.统一安排入住员工宿舍，小区式住宿环境，水、电、暖气、空调等齐全

年龄要求：
18-36岁

职能类别：
乘务员",专业服务/咨询人力,人力资源,"安检员, 乘务员, 检票员, 安全员, 乘务辅警, 列车员",1.初中、中专及以上学历,0.0,5000.0,9000.0,7000.0,"['安检员', '乘务员', '检票员', '安全员', '乘务辅警', '列车员']","安检员,乘务员,检票员技能包,安全员",1
171613220,直属单位安检岗_职工福利_包吃住,专业服务(咨询、人力资源、财会),5.0,8.0,千,月,无需经验,中技/中专,在线,2026-04-15 13:51:29,2026-04-15 18:42:25,河北北骏铁路工程有限公司,大庆,"双休,带薪年假,包吃住,奖金,年终奖,员工宿舍,缴纳五险,医疗保险,养老保险,失业保险,工伤保险","职位详情：
岗位职责：
1、检查旅客是否携带包制刀具、危险物品等物品进站；进站检票等；
2、熟练掌握各种安检设备的操作及识别方法；
3、按照“逢包必检”的安检要求，负责宣传引导人员进入安检区域；
4、对可疑物品进行针对性探测，确定可疑物品性质，及时移交现场民警处理并做好记录。
薪资待遇：
五险一金，月薪5000-8000，上一休一或上二休二，管食宿。
招聘要求：
1、年龄18-35周岁，无明显伤疤，皮肤病；
2、适应能力强，良好的沟通能力；
3、有责任心，热爱服务行业。

年龄要求：
18-35岁

职能类别：
安检员",专业服务/咨询人力,人力资源,"安检员, 乘务员, 检票员, 安全员, 乘务辅警, 列车员",进站检票等；及时移交现场民警处理并做好记录。；上一休一或上二休二；2、适应能力强；3、有责任心；热爱服务行业。；18-35岁；安检员,0.0,5000.0,8000.0,6500.0,"['安检员', '乘务员', '检票员', '安全员', '乘务辅警', '列车员']","安检员,乘务员,检票员技能包,安全员",1
171604496,GRM文本标注5000,专业服务(咨询、人力资源、财会),4.0,5.0,千,月,1年及以上,本科,在线,2026-04-15 09:31:23,2026-04-15 18:44:10,重庆智博汇人力资源顾问有限公司,重庆·两江新区,"五险,带薪年假,绩效奖金,年终奖金,专业培训,产假","职位详情：
岗位职责
1、按照业务规则开展语音文本评估标注工作，如自然度、情感表现力、韵律等拟人维度的判断和评测；
2、统招本科，有语音，文本大模型标注经验或语音评测经验；
3、9-18或10-19，周轮休2天（大部分休周末），如法定节假日排班直接发三薪；

薪资福利：
1、综合4000~5000
2、五险、带薪年假、婚假、产假及国家规定其他福利假。

年龄要求：
22-35岁

职能类别：
数据标注师",专业服务/咨询人力,人力资源,"语音, 评测, 文本标注",如自然度、情感表现力、韵律等拟人维度的判断和评测；2、统招本科；周轮休2天（大部分休周末）；薪资福利：；22-35岁,0.1,4000.0,5000.0,4500.0,"['语音', '评测', '文本标注']","语音技能包,文本标注",1
171607865,铁路检票岗+职工福利包吃住,专业服务(咨询、人力资源、财会),5.5,8.5,千,月,无需经验,中技/中专,在线,2026-04-15 10:48:34,2026-04-15 18:45:11,河北驰达轨道交通有限公司,武汉,"带薪年假,节日福利,五险一金,全勤奖,餐补,带薪年假,五险一金,包吃住,交通补贴,专业培训,全勤奖,年度体检","职位详情：
一、岗位职责
-票务服务运营：负责车站售票、检票及旅客票务咨询的日常服务工作，搭建并优化票务服务流程，提升旅客票务办理体验；
-数据运营分析：记录票务办理数据、旅客反馈信息，定期整理分析票务运营数据，提出流程优化建议并落地执行；运营专员。
-系统运营维护：负责票务系统的日常操作与基础运营维护，及时处理系统异常，保障票务系统稳定运行；
-协同车站各部门完成票务运营相关工作，制定票务服务运营标准，监督执行并持续优化；
-客流运营支持：根据铁路客流变化，配合调整票务窗口运营策略，保障高峰时段票务服务效率。

二、任职要求
- 年龄18-38岁，中专及以上学历，专业不限，有客运服务、陆运操作相关经验者优先；
-责任心强，细心严谨，能严格遵守铁路运输规章制度，服从岗位排班安排；
-形象端正，无不良记录，具备较强的服务意识，能耐心为旅客提供检票船务/空运陆运操作相关指引；
-可接受轮班、节假日值班，适应铁路陆运客运高峰时段工作节奏。

【福利待遇】
-月薪5500-8500元，五险一金+带薪年假+法定节假日三倍工资；
-包食宿+餐补+交通补贴，定期团建+年度体检，福利完善；
-工作环境舒适，无重体力劳动，岗位稳定性强。

年龄要求：
18-38岁

职能类别：
船务/空运陆运操作",专业服务/咨询人力,人力资源,"安检岗, 票务, 轨道交通",中专及以上学历；责任心强；细心严谨；具备较强的服务意识；可接受轮班、节假日值班；适应铁路陆运客运高峰时段工作节奏。,0.0,5500.0,8500.0,7000.0,"['安检岗', '票务', '轨道交通']","安检岗,票务,轨道交通",1
