job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
168317944,博士后研究人员 （导师：翁莹，Alain Chong),教育/培训/院校,26.9,26.9,万,年,无需经验,博士,在线,2026-04-15 11:57:26,2026-04-15 19:01:35,宁波诺丁汉大学,宁波,"五险一金,定期体检,员工旅游,周末双休,带薪年假,补充医疗保险,节日福利,高温补贴,住房补贴","职位详情：
Prof. Alain Chong and Prof. Ying Weng are seeking an outstanding Postdoctoral Research Fellow to join the newly established Postdoctoral Research Station in Business Administration at the University of Nottingham Ningbo China, contributing to the development of the university’s research agenda.
Your Responsibility
Your key responsibilities include:
61 Design and Develop Research: Formulate clear research objectives and contribute to the development of proposals for individual and collaborative projects, applying established and emerging methodologies to advance the research agenda.
61 Conduct and Analyze Research: Collect, manage, and rigorously analyze complex datasets; interpret results; critically evaluate existing literature; and generate original insights that align with project goals.
61 Disseminate Findings: Prepare high-quality manuscripts for submission to leading journals, present research at national and international conferences, and contribute to the visibility and impact of the research team.
61 Secure Funding: Identify opportunities and contribute to the preparation of competitive grant applications to national and international funding bodies.
61 Build Networks and Collaborations: Engage with internal colleagues and external partners (academic, clinical, and industry) to exchange ideas, explore opportunities for collaboration, and establish partnerships that strengthen research outcomes.
About You
61 Qualifications: PhD awarded within 3 years in business administration, computer science, information systems, data science, biomedical engineering, or a related discipline.
61 Programming & Data Skills: Strong proficiency in Python (e.g., NumPy, Pandas, scikit-learn, PyTorch, TensorFlow); additional experience with R, MATLAB, or Julia is an advantage.
61 Machine Learning Expertise: Familiarity with supervised/unsupervised learning (regression, classification, clustering), ensemble methods, and deep learning architectures (CNNs, RNNs). Experience with explainable AI (e.g., SHAP, LIME) and radiomics preferred.
61 Quantitative Analysis: Demonstrated ability to handle multimodal datasets, conduct statistical analysis, and apply predictive modeling and validation techniques.
61 Research & Publication: Skilled at critically reviewing literature, designing rigorous studies, and producing publications for high-impact journals.
61 Collaboration & Communication: Excellent oral and written English communication skills, with the ability to present technical findings clearly. Knowledge of Chinese is a plus. Ability to work both independently and within multidisciplinary teams.
61 Practical Experience: Prior hands-on research in healthcare, medical imaging, AI applications, or digital innovation will be an asset.
About Us
Join a unique British University in China. Join a unique British University in China. University of Nottingham Ningbo China (UNNC) was the 1st Sino-foreign university to open its doors in China. Located in Ningbo, this award winning campus offering a UK-style education has grown to establish a student body of over 9,000 in just 20 years.
About Postdoctoral research station in Business Administration. Postdoctoral research station in Business Administration was approved to establish in Nov 2023. It is UNNC’s 1st postdoctoral research station, and its founding deeply aligns with the national strategic needs in promoting talent cultivation and innovation as well as that of UNNC. UNNC’s undergraduate programme of Business Administration was launched in 2004 and the doctoral programme in 2009. The subject has been listed among the world’s top academic subjects by Shanghai Ranking for four consecutive years. The discipline of Business Administration has also established teaching and research platforms at multiple levels and carried out in-depth industry university research cooperation with world renowned enterprises such as Microsoft and Amazon. In the future, UNNC will incorporate the development of the postdoctoral research station into the agenda of the university to provide talent support in efforts to promote scientific and technological innovation as well as economic and social development.
About the Research Team. Prof. Alain Chong is Vice Provost for Global Engagement and Partnerships and Chair Professor of Information Systems at the University of Nottingham Ningbo China. His research explores digital innovation, disruptive technologies, and their impact on business and society. He serves as Co-Editor-in-Chief of Industrial Management & Data Systems and as Associate Editor for Information & Management and Decision Support Systems. Prof. Ying Weng is Course Director for Computer Science with Artificial Intelligence, Professor in Computer Science. She obtained PhD in Signal & Information Processing at Chinese Academy of Sciences, and Postdoctor at Imperial College London. She received the Newton Research Collaboration Award by UK Royal Academy of Engineering, Best Paper Award at International Conference on Automation & Computing, and 1st Place Prize in the international ASNR-MICCAI BraTS Challenges. She is with membership of Editorial Board for Expert Systems with Applications, Elsevier.
About the Project. This project aims to advance neuro-oncology by building a comprehensive multimodal brain tumor database that integrates imaging, patient records, and digital pathology. Using explainable artificial intelligence (XAI) techniques, the system enables non-invasive determination of tumor pathology—such as WHO grading—directly from radiomic features captured during routine medical imaging. This reduces reliance on invasive biopsies and accelerates diagnostic processes. Beyond classification, the platform combines multimodal inputs to provide personalized, evidence-based treatment recommendations. By delivering transparent and interpretable AI insights, the project not only improves diagnostic accuracy but also supports clinical decision-making and reduces the cognitive workload for physicians. Ultimately, the system contributes to more standardized and efficient precision medicine in brain tumor care.
Candidates are expected to submit a research proposal that builds on this project summary.
Your Remuneration, Benefits and Support
You will be offered a fixed term contract initially with University of Nottingham Ningbo China for 2 years . You will be offered a minimum annual salary package of RMB 269,906 with competitive benefits package. Postdoctoral Research Fellow is also able to apply RMB50,000 research funding after they start their research.
How to Apply
Applicants should submit an application via our on-line application system before Oct 15, 2025. Only on-line applications will be accepted. Referees will be contacted prior to interview and interviews will take place in Ningbo China.

Applications should include but are not limited to the following:
61 A cover letter
61 An up-to-update CV includes academic and research achievement list
61 A Research proposal (Please refer to the attached project summary)

年龄要求：
16-35岁

职能类别：
科研人员",教育/培训院校,教育,"信息科技, 计算机科学, 大数据分析",Your Responsibility；61 Build Networks and Collaborations:；Engage with internal colleagues and external partners (academic；and industry) to exchange ideas；explore opportunities for collaboration；61 Qualifications:；or a related discipline.；61 Machine Learning Expertise:；Familiarity with supervised/unsupervised learning (regression；ensemble methods；61 Collaboration & Communication:；Excellent oral and written English communication skills；with the ability to present technical findings clearly. Knowledge of Chinese is a plus. Ability to work both independently and within multidisciplinary teams.；61 Practical Experience:；and their impact on business and society. He serves as Co-Editor-in-Chief of Industrial Management & Data Systems and as Associate Editor for Information & Management and Decision Support Systems. Prof. Ying Weng is Course Director for Computer Science with Artificial Intelligence；and 1st Place Prize in the international ASNR-MICCAI BraTS Challenges. She is with membership of Editorial Board for Expert Systems with Applications；Benefits and Support；16-35岁,0.0,22416.666666666664,22416.666666666664,22416.666666666664,"['信息科技', '计算机科学', '大数据分析']","信息科技,计算机科学,大数据分析",2
171611849,课件制作,院校,6.0,7.0,千,月,1年及以上,本科,在线,2026-04-15 12:27:46,2026-04-15 19:07:54,济南迁赫教育科技有限公司,济南,"五险一金,绩效奖金,年终奖金","职位详情：
【工作内容】
- 负责根据教学大纲和课程内容，独立完成课件的策划、设计与制作；
- 与教学团队沟通协作，确保课件内容准确、逻辑清晰、视觉美观；
- 不断优化课件结构与呈现方式，提升教学效果与学习体验；
- 参与课件素材的收集与整理，保证资料的完整性与适用性。
【任职要求】
- 具备良好的文字表达能力和审美能力，对课件设计有基本了解；
- 熟悉PPT、Keynote等课件制作工具，能独立完成课件制作；
- 工作认真细致，具备较强的学习能力和责任心；
- 无工作经验要求，欢迎应届毕业生或转行人员投递。

职能类别：
培训产品开发",教育/院校,教育,"ppt, 课件设计, keynote, 课件制作",工作认真细致；具备较强的学习能力和责任心；欢迎应届毕业生或转行人员投递。,0.1,6000.0,7000.0,6500.0,"['ppt', '课件设计', 'keynote', '课件制作']","ppt,课件设计,keynote,课件制作",2
171612062,资产管理员,院校,5.0,6.0,千,月,1年及以上,本科,在线,2026-04-15 12:51:25,2026-04-15 19:08:53,济南迁赫教育科技有限公司,青岛,"五险一金,绩效奖金,年终奖金","职位详情：
【工作内容】
- 负责公司各类资产的登记、盘点及日常管理，确保资产信息准确无误；
- 协助完成资产采购、调拨、报废等流程的文档处理与跟进；
- 定期与财务部门核对资产数据，确保账实一致；
- 维护资产管理系统，及时更新资产状态和相关信息。
【任职要求】
- 本科及以上学历，专业不限，接受应届毕业生或无相关工作经验者；
- 具备良好的沟通能力和责任心，工作细致认真；
- 熟悉办公软件操作，具备基础的数据处理能力；
- 有较强的学习能力，能够快速适应岗位工作内容。

职能类别：
资产管理",教育/院校,教育,"办公软件, 管理, 盘点, 调拨, 报废, 资产采购, 资产管理系统, 资产登记, 数据处理, 资产数据",本科及以上学历；接受应届毕业生或无相关工作经验者；工作细致认真；有较强的学习能力,0.1,5000.0,6000.0,5500.0,"['办公软件', '管理', '盘点', '调拨', '报废', '资产采购', '资产管理系统', '资产登记', '数据处理', '资产数据']","办公软件,管理,盘点,调拨,报废,资产采购,资产管理系统,资产登记,数据处理,资产数据",2
145991368,GIS工程师,学术/科研,5.0,10.0,千,月,2年,本科,在线,2026-04-15 09:40:57,2026-04-15 19:13:30,广州市城市更新规划设计研究院有限公司,广州·越秀区,"五险一金,年终奖金,定期体检,带薪年假,补充医疗保险,企业年金","职位详情：
岗位职责：
1、负责基础数据调查项目地形成图处理，地图制图，数据建库、入库工作；
2、负责项目相关成果质量检查；
3、协助编写项目技术设计书、项目总结报告、方案等文档；
4、完成领导交代的其他工作。

任职资格：
1、本科及以上学历，测绘工程、地理信息工程、土地资源管理、摄影测量与遥感及相关专业，有GIS数据处理、建库工作经验者优先；
2、熟悉1:500、1:2000地形成图国标要求、成图流程、CAD及GIS地图制图；
3、具有良好的沟通表达能力、团队协作能力、工作责任心与积极主动性；
4、熟悉ArcGIS、MapGIS、AutoCAD、南方CASS、Office等软件操作平台，能使用基本的语法或函数批量数据处理、分析；
5、持C1驾照，能正常在广州驾驶车辆优先；
6、具有优秀文本编写能力，如编写项目方案、各类PPT演示文稿等。

职能类别：
软件工程师",其他行业,教育,GIS,1、本科及以上学历；6、具有优秀文本编写能力,0.2,5000.0,10000.0,7500.0,['GIS'],GIS,2
170898894,AI SEO 专员,教育/培训/院校,9.0,10.0,千,月,2年及以上,本科,在线,2026-04-15 12:56:34,2026-04-15 19:15:47,广州莱佛士设计培训学院,厦门·思明区,,"职位详情：
岗位职责：
职位：AI SEO 专员
1、 深入研究 AI 搜索算法逻辑与内容偏好，制定适配 AI 搜索习惯的优化策略，确保内
容高效触达目标用户。

2、运用AI工具搜索引擎优化（如SEO插件、内容分析平台）进行关键词研究、竞争对手分析，制定超越传统思维的SEO策略。

3、深入理解并实践 “大模型优化”（如Deepseek、腾选元宝、Kimi、文心一言、豆包等主流平台）确保我们的品牌和学校相关信息内容能被主流AI模型优先收录和推荐，能够做到用户利用大模型工具搜索，即可生成准确的投放内容，基于目标用户需求进行精准关键词布局与内容优化，搭建从 AI 搜索场景到官网的引流路径，引导用户连接到公司的营销账户（官网、微信公众号等社交平台）

4、运用AI工具搜索引擎优化（如SEO插件、内容分析平台）进行关键词研究、竞争对手分析，制定超越传统思维的SEO策略。并且配合社交媒体同事进行各大社交媒体平台（如微信、微博、抖音等）的账号搭建与内容投放，为大模型持续维护正确的内容资源库检索基础
任职条件：

1、 熟悉 Deepseek、kimi、豆包等主流 AI 搜索平台的内容生成机制、排名规则及优化
逻辑，能精准把握 AI 搜索的内容需求点。

2、拥有 AIGC（人工智能内容生成） 内容优化相关经验，了解如何通过内容设计与优化让 AI 搜索平台更偏好展示目标内容。

3、熟悉Photoshop、Ai、CDR、Flash等常见工作软件，熟练掌握网站页面、图文设计制作技巧；

4、具备 2 年以上 SEO 优化相关工作经验，拥有 AI 搜索平台（如Deepseek、kimi、豆包等）优化成功案例者优先，需提供过往案例证明（含优化前后流量/排名变化、搜索舆情优化等关键成果）。

薪资参考：9-10K
筛选面试：
线上面试，通过后试用期6个月，居家办公

年龄要求：
24-29岁

职能类别：
SEO/SEM",教育/培训院校,教育,"抖音, ai, 微博, seo, 搜索引擎优化, 内容优化, 社交媒体平台, 内容投放, 关键词布局, 账号搭建",薪资参考：,0.2,9000.0,10000.0,9500.0,"['抖音', 'ai', '微博', 'seo', '搜索引擎优化', '内容优化', '社交媒体平台', '内容投放', '关键词布局', '账号搭建']","抖音,ai,微博,seo,搜索引擎优化,内容优化,社交媒体平台,内容投放,关键词布局,账号搭建",2
171608212,儿童康复师,培训机构,3.0,6.0,千,月,1年及以上,大专,在线,2026-04-15 10:55:35,2026-04-15 19:26:48,临沂心语教育咨询有限公司,临沂,"五险一金,餐饮补贴,单双休","职位详情：
岗位职责
1、从事儿童康复教学或常规小组课教学
2、制定和实施康复计划和康复方案
3、对康复教学进行记录及各类教学报告
4、做好与家长教学沟通，答疑解惑并及时反馈家长意见
任职要求：
1、具有耐心、爱心、责任心、包容心、团队合作意识和吃苦耐劳的精神。
2、喜欢孩子，尊重孩子，热爱特教事业。
3、富有想象力、亲和力、有良好的与家长沟通交流能力。
4、康复专业，有过儿童康复、特殊教育、工作经验者优先。

职能类别：
理疗师",教育/培训院校,教育,"康复计划, 康复方案, 教学报告, 教学沟通, 儿童康复, 特教, 特殊教育, 康复",热爱特教事业。；3、富有想象力、亲和力、有良好的与家长沟通交流能力。；4、康复专业,0.1,3000.0,6000.0,4500.0,"['康复计划', '康复方案', '教学报告', '教学沟通', '儿童康复', '特教', '特殊教育', '康复']","康复计划,康复方案,教学报告,教学沟通,儿童康复,特教,特殊教育,康复",2
171617204,运营保障部 客户服务总监,学术/科研,1.5,2.0,万,月,5年及以上,本科,在线,2026-04-15 15:20:00,2026-04-15 20:27:43,中国食品发酵工业研究院有限公司,北京·朝阳区,"五险一金,定期体检,带薪年假,节日福利,周末双休","职位详情：
职位描述：
1. 搭建客服团队（招聘、培训、排班、绩效考核）；
2. 制定客服话术体系与服务SOP，确保功能性食品功效宣称符合广告法与平台规则；
3. 建立客诉分级响应机制，主导重大客诉与危机事件处理；
4. 监控客服核心指标（CSAT、响应时效、解决率、差评率），持续优化服务体验；
5. 搭建会员管理体系，通过分层运营提升复购率与LTV；
6. 收集用户反馈，联动产品、运营、供应链推动体验改进。

任职要求：
1. 3年以上电商客服团队管理经验，有食品/保健品/大健康类目背景优先；
2. 熟悉天猫、京东、抖音等平台规则，了解功能性食品合规话术边界；
3. 具备从0到1搭建客服体系或标准化SOP的经验；
4. 数据敏感，能通过客服数据发现问题并推动解决；
5. 抗压能力强，具备优秀的跨部门沟通与危机处理能力。

职能类别：
客服经理",其他行业,教育,"sop, 招聘, 食品, 天猫, 京东, 平台规则, 危机处理",5. 抗压能力强；具备优秀的跨部门沟通与危机处理能力。,0.5,15000.0,20000.0,17500.0,"['sop', '招聘', '食品', '天猫', '京东', '平台规则', '危机处理']","sop,招聘,食品,天猫,京东,平台规则,危机处理",1
171576458,风电检修工程师,学术/科研,4.5,9.0,千,月,无需经验,大专,在线,2026-04-15 04:07:21,2026-04-15 21:48:37,张家口拓卓新能源有限公司,张家口,"专业培训,业绩奖金","职位详情：
风电机组辅控系统安装及调试
风力发电机组装设智能控制系统

职能类别：
机电工程师",其他行业,教育,"风电机组辅控系统安装, 风电机组辅控系统调试, 风力发电机组装设, 智能控制系统",,0.0,4500.0,9000.0,6750.0,"['风电机组辅控系统安装', '风电机组辅控系统调试', '风力发电机组装设', '智能控制系统']","风电机组辅控系统安装,风电机组辅控系统调试,风力发电机组装设,智能控制系统",2
171580828,主播,院校,4.0,6.0,千,月,无需经验,大专,在线,2026-04-15 04:04:10,2026-04-15 21:48:57,阜阳市颍州区新华外国语学校,阜阳,"五险一金,补充医疗保险,餐饮补贴,通讯补贴,专业培训,绩效奖金,弹性工作,定期体检","职位详情：
【工作内容】
- 负责线上直播内容的策划与执行，包括学校介绍、互动交流等；
- 保持良好的镜头表现力和语言表达能力，提升直播间氛围与观众参与度；
- 配合团队完成直播脚本撰写、流程安排及相关宣传推广工作。
【任职要求】
- 具备良好的语言表达能力和亲和力，有主播、主持或相关经验者优先；
- 拥有一定的镜头感和应变能力，能适应不同直播场景；
- 热爱直播行业，具备较强的责任心和团队协作精神；
- 熟悉小红书、抖音、短视频等各类平台运营，可独立完成简单视频剪辑工作。

职能类别：
主播/主持人",教育/院校,教育,"宣传推广, 主播, 线上直播, 镜头表现力, 互动交流",拥有一定的镜头感和应变能力,0.0,4000.0,6000.0,5000.0,"['宣传推广', '主播', '线上直播', '镜头表现力', '互动交流']","宣传推广,主播,线上直播,镜头表现力,互动交流",2
171595296,机械设计工程师,学术/科研,1.2,2.0,万,月,5年及以上,本科,在线,2026-04-15 04:04:17,2026-04-15 21:51:13,苏州津仁智能科技有限公司,苏州,"五险一金,餐饮补贴,节日福利,带薪年假","职位详情：
【工作内容】
- 根据要求进行非标设备开发和配件选型，汽车行业非标设备经验者优先；
- 独立完成非标机械设备设计，包括结构设计、标准件选型、设计图纸出图，BOM整理申购；
- 指导装配、调试、并解决设备生产组装和调试过程中的技术问题；
- 负责非标设备的全过程追踪，包括非标设备的设计到成品及调试阶段的异常指导工作；
- 编写相关的产品验收标准及技术协议等文档。
【任职要求】
- 本科及以上学历，机械制造及其自动化或机电一体化等相关专业；
- 工作经验5年以上，汽车行业非标自动化产线经验3年以上；
- 熟悉压装、拧紧、焊接、点胶和测试等基础工艺；
- 熟练常用标准件的选型，并熟练使用Solidworks和AUTOCAD；
- 逻辑清晰，稳定踏实，有良好的沟通能力；
- 有一定英文基础者优先考虑。

职能类别：
机械工程师",其他行业,教育,"测试, 焊接, 点胶, 标准件选型, 压装, 拧紧",本科及以上学历；稳定踏实,0.5,12000.0,20000.0,16000.0,"['测试', '焊接', '点胶', '标准件选型', '压装', '拧紧']","测试,焊接,点胶,标准件选型,压装,拧紧",1
