job_id,job_title,industry_name,salary_min,salary_max,salary_unit,salary_period,experience_required,education_required,status,publish_date,collected_at,company_name,city,job_benefits,job_description,industry_standard,industry_group,job_skills,other_requirement,exp_numeric,salary_min_norm,salary_max_norm,avg_salary,skills_list,merged_job_skills,cluster
170784847,设备主管,仪器仪表/工业自动化,1.4,1.8,万,月,5年及以上,大专,在线,2026-04-14 19:09:51,2026-04-15 17:49:32,红品晶英科技（深圳）有限公司,深圳·宝安区,"五险一金,年终奖金,绩效奖金,周末双休,五险","职位详情：
工作内容：
1、体系建设与流程优化
2、供应商全生命周期管理
3、自有团队管理与应急处置
4、新设备导入（NPI）支持
5、资产状态评估与处置
任职要求：
1、 机械工程、电气自动化、机电一体化等相关专业，大专及以上学历。
2、从业经验： 至少 5 年以上制造业设备维护管理经验，其中至少 2 年以上团队管理经验；
3、对机加设备非常熟悉

年龄要求：
16-40岁

职能类别：
设备主管",制造业/工业自动化,机械工程,"团队管理, npi, 电气自动化, 机械工程, 流程优化, 设备导入, 体系建设, 应急处置, 机加设备, 机电一体化",大专及以上学历。,0.5,14000.0,18000.0,16000.0,"['团队管理', 'npi', '电气自动化', '机械工程', '流程优化', '设备导入', '体系建设', '应急处置', '机加设备', '机电一体化']","团队管理,npi,电气自动化,机械工程,流程优化,设备导入,体系建设,应急处置,机加设备,机电一体化",1
171603237,轮机监造工程师,仪器仪表/工业自动化,2.0,2.3,万,月,8年及以上,,在线,2026-04-15 08:57:21,2026-04-15 17:51:31,大连计仪船舶工程有限公司,镇江·扬中市,"专业培训,有餐补","职位详情：
1.甲方岗位，船东；（杂货船）

2.公司提供食宿、午餐；

3.船舶8年及以上轮机工作经验，对应质量口或者对应专业施工员/调试员***；

4.能做电脑报告，自带笔记本电脑；

5.周期:6个月左右；

职能类别：
船舶工程师",制造业/工业自动化,机械工程,"调试, 轮机, 船舶",1.甲方岗位,0.8,20000.0,23000.0,21500.0,"['调试', '轮机', '船舶']","调试,轮机,船舶",1
171611995,机器人调试员,汽车,8.0,12.0,千,月,3年及以上,大专,在线,2026-04-15 12:44:44,2026-04-15 17:53:52,上海阿特迪科技术有限责任公司,上海·松江区,"五险一金,年终奖金,绩效奖金,专业培训,弹性工作","职位详情：
工作职责:
1、项目前期设计、仿真设备选型及接口确认支持等；
2、现场机器人调试（配置、轨迹、节拍、联调及问题处理等）及安装支持；
3、控制机器人调试成本，降本措施执行（一岗多能等）；
4、调试问题及技术风险措施建议及执行；
5、内部调试管理流程执行及优化；
6、技术交底及计划制定落地执行；
7、现场内部及供应商沟通协调管理（人员、进度、质量、流程执行等）；
8、项目lesson learn总结；

岗位要求:
1、大学专科及以上学历，理工科相关专业；
2、白车身行业3年以上机器人调试经验，熟悉汽车焊装标准；
3、至少熟练掌握KUKA/FANUC/ABB/现代等主流机器人中一种及以上使用能力,；
4、具备白车身工艺设备调试及质量优化分析能力；
5、熟悉机器人与PLC通讯方式：Profinet、Profibus、Ethernet等；
6、具备通用、大众等合资企业项目经验；
7、有仿真、滚边，激光调试经验者优先；
8、良好的沟通表达及学习能力；
9、良好的英语读写能力，英语可作为工作语言，优先考虑；
10、能够出差，服从公司安排，抗压能力强；

职能类别：
机器学习工程师",制造业/汽车,机械工程,"汽车焊装, plc, 调试, 机器人调试, 现代, fanuc",1、大学专科及以上学历；理工科相关专业；抗压能力强,0.3,8000.0,12000.0,10000.0,"['汽车焊装', 'plc', '调试', '机器人调试', '现代', 'fanuc']","汽车焊装,plc,调试,机器人调试,现代,fanuc",2
171613781,注塑试模技术员,仪器仪表/工业自动化,9.0,11.0,千,月,1年及以上,高中,在线,2026-04-15 13:59:45,2026-04-15 17:55:41,深圳艾利佳材料科技有限公司,深圳·宝安区,"五险一金,带薪年假,绩效奖金,项目奖金,专业培训","职位详情：
工作内容：
1、根据生产计划，完成责任机台的试模、量产参数设定，保障生产稳定；
2、及时排查注塑成型过程中的产品缺陷、设备故障，快速解决生产问题；
3、负责机台模具、注塑设备的日常清洁、点检、保养，制定并执行保养计划；
4、记录生产数据，分析成型问题，优化工艺参数，提升产品合格率与生产效率；
5、配合生产调度、品质部门完成试模验证、品质改善等工作，反馈生产问题。
任职要求：
1、熟悉日精机、鸿利机、立式机等主流注塑设备的结构原理与操作规范；
2、具备1年以上MIM粉末冶金注塑成型实操经验，掌握成型工艺参数设定；
3、熟练操作机械手，掌握机械手调试、日常维护及故障处理方法；
4、具备注塑机、模具的日常点检、维护保养及简单维修能力
5、责任心强，能适应倒班，具备良好的问题沟通协调能力

职能类别：
技工",制造业/工业自动化,机械工程,"日精机, 鸿利机, 立式机, MIM粉末冶金注塑成型, 成型工艺参数设定, 机械手调试, 机械手日常维护, 注塑机日常点检, 模具日常点检, 注塑机维护保养",5、责任心强；能适应倒班,0.1,9000.0,11000.0,10000.0,"['日精机', '鸿利机', '立式机', 'MIM粉末冶金注塑成型', '成型工艺参数设定', '机械手调试', '机械手日常维护', '注塑机日常点检', '模具日常点检', '注塑机维护保养']","日精机,鸿利机,立式机,MIM粉末冶金注塑成型,成型工艺参数设定,机械手调试,机械手日常维护,注塑机日常点检,模具日常点检,注塑机维护保养",2
171614814,物控专员,机械/设备/重工,4.8,5.5,千,月,5年及以上,大专,在线,2026-04-15 14:23:53,2026-04-15 17:56:29,中山金港源金属制造有限公司,中山·火炬开发区,"五险一金,定期体检,专业培训,包吃住","职位详情：
【工作内容】
1、对中央化的辅料进行管理，包括计划物料交货时间；
2、合理分配物料，确保满足生产需求的同时也要控制库存；
3、定期分析物料使用数据，提出改进建议，提升整体运营效率。

【任职要求】
1、专科及以上学历，专业不限；
2、5年以上的物料计划工作经验，了解供应琏的基本知识；
3、熟悉办公软件操作，具备良好的数据分析能力；

职能类别：
生产计划/物料管理(PMC)",制造业/机械设备,机械工程,"办公软件, 数据分析, 分配物料, 控制库存",1、专科及以上学历,0.5,4800.0,5500.0,5150.0,"['办公软件', '数据分析', '分配物料', '控制库存']","办公软件,数据分析,分配物料,控制库存",1
171614831,工会活动主管 (MJ042538),汽车,1.2,1.7,万,月,3年及以上,本科,在线,2026-04-15 14:24:32,2026-04-15 17:56:48,江苏时代新能源科技有限公司,常州·溧阳市,"五险一金,专业培训,绩效奖金,年终奖金,餐饮补贴,定期体检","职位详情：
岗位职责：
1、根据公司文化与战略，独立制定年度员工活动规划、预算及效果评估方案；
2、策划并落地执行全公司范围的文体活动、节日庆典、员工关怀及特色活动；
3、负责大型活动（如年会、运动会）的全周期项目管理，包括供应商管理、成本控制、风险预案及现场统筹；
4、建立与员工、工会及各部门的沟通机制，挖掘需求，提升活动参与度与满意度；
5、负责活动宣传，撰写活动报告，评估活动效果，持续优化活动体系。
任职要求：
1、本科及以上学历，3年以上大中型制造业/工业企业员工活动、企业文化或相关经验；
2、具备独立策划并成功执行500人以上规模企业活动的全流程经验；
3、精通活动项目管理，具备优秀的预算编制管控、供应商谈判管理能力；
4、熟练使用PPT、Excel及设计软件（包括但不限PS/AE/剪映等），文字与沟通能力出色；
5、有工会工作经验、熟悉数字化工具并熟练运用于活动策划等工作、对企业文化建设有深入理解（加分项）。

职能类别：
企业文化/员工关系/工会管理",制造业/汽车,机械工程,"员工活动规划, 预算及效果评估方案, 文体活动策划, 节日庆典策划, 员工关怀活动策划, 大型活动项目管理, 供应商管理, 成本控制, 风险预案, 现场统筹, 活动宣传, 撰写活动报告, 评估活动效果, PPT, Excel, 设计软件, PS, AE, 剪映, 文字能力, 沟通能力, 工会工作经验, 数字化工具, 企业文化建设",1、本科及以上学历,0.3,12000.0,17000.0,14500.0,"['员工活动规划', '预算及效果评估方案', '文体活动策划', '节日庆典策划', '员工关怀活动策划', '大型活动项目管理', '供应商管理', '成本控制', '风险预案', '现场统筹', '活动宣传', '撰写活动报告', '评估活动效果', 'PPT', 'Excel', '设计软件', 'PS', 'AE', '剪映', '文字能力', '沟通能力', '工会工作经验', '数字化工具', '企业文化建设']","员工活动规划,预算及效果评估方案,文体活动策划,节日庆典策划,员工关怀活动策划,大型活动项目管理,供应商管理,成本控制,风险预案,现场统筹,活动宣传,撰写活动报告,评估活动效果,PPT技能包,Excel,设计软件,AE,剪映,文字能力,沟通能力,工会工作经验,数字化工具,企业文化建设",2
171612585,卧车操作员,机械/设备/重工,8.0,12.0,千,月,3年及以上,,在线,2026-04-15 13:24:55,2026-04-15 17:57:26,利屹恩船用推进器（江苏）有限公司,常熟,"五险一金,年终奖金,带薪年假,定期体检,员工旅游,通讯补贴,补充医疗保险,出差补贴,免费工作餐,周末双休","职位详情：
【工作内容】
- 操作卧式车床进行金属材料的加工与成型；
- 根据图纸和工艺要求完成零件的加工任务；
- 负责设备的日常维护与保养，确保生产正常运行；
- 配合团队完成生产计划，保证产品质量和交期。
【任职要求】
- 3年以上相关工作经验，有责任心和良好的团队合作意识；
- 能适应加班工作，具备基本的读图能力和动手能力；
- 有较强的安全意识，遵守工厂各项规章制度；
- 身体健康，能胜任体力劳动，服从工作安排。

职能类别：
车工",制造业/机械设备,机械工程,"生产计划, 维护保养, 零件加工, 卧式车床, 读图, 金属材料加工",具备基本的读图能力和动手能力；有较强的安全意识；身体健康；能胜任体力劳动；服从工作安排。,0.3,8000.0,12000.0,10000.0,"['生产计划', '维护保养', '零件加工', '卧式车床', '读图', '金属材料加工']","生产计划,维护保养,零件加工,卧式车床,读图,金属材料加工",2
171616764,整车线束助理工程师,汽车研发/制造,3.0,6.0,千,月,无需经验,本科,在线,2026-04-15 15:09:49,2026-04-15 17:57:58,上海佳仁杰作科技有限公司,保定,"周末双休,专业培训,住房补贴","职位详情：
【工作内容】
- 协助完成整车线束设计及优化工作，确保符合产品技术规范；
- 参与线束图纸的审核与修改，配合完成线束布置方案；
- 跟进线束样件制作及测试过程，协助解决生产中出现的技术问题；
- 与项目团队沟通协作，支持整车开发各阶段的线束相关工作。
【任职要求】
- 本科及以上学历，车辆工程、电气工程或相关专业；
- 熟悉汽车线束设计流程，具备基本的CAD或AutoCAD使用能力；
- 具备良好的沟通能力和团队协作精神，工作认真细致；
- 有相关实习或项目经验者优先考虑。

职能类别：
汽车设计工程师",制造业/汽车,机械工程,"测试, cad, 车辆工程, 电气工程, 线束, 线束设计, 线束图纸, 汽车线束设计, autocad",本科及以上学历；工作认真细致,0.0,3000.0,6000.0,4500.0,"['测试', 'cad', '车辆工程', '电气工程', '线束', '线束设计', '线束图纸', '汽车线束设计', 'autocad']","测试,cad,车辆工程,电气工程,线束,线束设计,线束图纸,汽车线束设计,autocad",2
171610691,安环主管,机械/设备/重工,6.0,8.0,千,月,3年及以上,本科,在线,2026-04-15 11:45:43,2026-04-15 17:58:32,江苏木易新材料科技有限公司,南通·如东县,"五险,带薪年假,带薪病假,员工旅游,年终奖金,绩效奖金,专业培训,定期体检","职位详情：
岗位职责：
1、建立完善安全生产、环境保护管理制度及应急预案；
2、组织日常、专项及综合性安全检查，排查事故隐患并跟踪整改等；
3、管理特种设备、消防设施及个人安全防护用品的合规性；
4、组织安全环保培训；
5、组织应急预案演练，管理应急物资；
6、对应应急管理、生态环境等部门，完成数据上报、许可证年审。
7、监督职业病危害因素检测与告知，组织员工职业健康体检，建立监护档案。
任职要求：
1、本科以上学历（相关从业经验丰富者，可放宽学历），有3年及以上制造业安全环保工作经验。
2、有消防设施操作员证书优先考虑。
工作时间：早上8:00-下午16:30，大小休工作制（月休6天）。

职能类别：
EHS安全经理/主管",制造业/机械设备,机械工程,"安全生产, 安全检查, 应急预案, 消防设施, 环境保护, 特种设备, 职业健康体检, 数据上报, 应急预案演练, 安全防护用品",1、本科以上学历（相关从业经验丰富者；可放宽学历）；大小休工作制（月休6天）。,0.3,6000.0,8000.0,7000.0,"['安全生产', '安全检查', '应急预案', '消防设施', '环境保护', '特种设备', '职业健康体检', '数据上报', '应急预案演练', '安全防护用品']","安全生产,安全检查,应急预案,消防设施,环境保护,特种设备,职业健康体检,数据上报,应急预案演练,安全防护用品",2
171602567,热处理多用炉操作工,机械/设备/重工,6.0,8.0,千,月,1年及以上,高中,在线,2026-04-15 08:22:10,2026-04-15 18:00:02,无锡华洋滚动轴承有限公司,无锡·梁溪区,"缴纳五险,五险一金,年终奖金,节日福利,专业培训,带薪年假,团建活动,绩效奖金","职位详情：
一、热处理多用炉操作工

岗位职责：

1. 负责热处理多用炉的日常操作，严格按照工艺要求设置加热温度、保温时间、碳势及冷却速度等参数，确保产品热处理质量符合标准要求。
2. 执行生产计划，按时完成产品的装炉、出炉作业，做好每炉产品热处理过程的详细工作记录及交接班记录。
3. 严格执行热处理操作手册和安全操作规程，佩戴好个人安全防护用品，确保生产安全。
4. 负责设备运行过程中的巡视监控，及时发现并报告设备异常情况，做好设备的日常维护与保养工作。
5. 配合工艺技术人员进行新工艺的试产验证，按要求记录工艺参数和产品状态，为工艺优化提供数据支持。
6. 负责热处理后产品的自检自控，对产品硬度、渗碳层深度等关键指标进行初步判定，确保过程质量受控。

任职要求：

1. 高中及以上学历，身体健康，能适应12小时两班倒工作制；
2. 熟悉热处理工艺流程，有1年以上多用炉操作经验、熟悉工艺者优先；
3. 具备基础的设备操作技能，能看懂简单的工艺图纸和操作手册；
4. 工作认真负责，有较强的学习能力，善于团队协作。

薪资福利：

· 综合薪资：6000~8000元/月
· 缴纳五险一金，提供免费工作餐
· 公司提供免费住宿
· 员工活动室、篮球场、阅览室等文体设施
· 享受法定假期、年终奖金、节日福利，每年组织团建活动
· 完善的晋升通道，表现优秀者可竞聘班组长、热处理工程师等岗位

年龄要求：
20-45岁

职能类别：
普工/操作工",制造业/机械设备,机械工程,热处理,1. 高中及以上学历；身体健康；能适应12小时两班倒工作制；4. 工作认真负责；有较强的学习能力,0.1,6000.0,8000.0,7000.0,['热处理'],热处理,2
